
SetupTitle, inv-vovg
PrimitiveTest, I/V Sweep
DataValue, 1.8, 1, 2.1000000000000001E-13, 2.7884000000000003E-06, 0.75359999999999994, 2.7884000000000003E-06, 2.1000000000000001E-13, 
DataValue, 1.83, 1, -6.0000000000000009E-14, 2.8485000000000003E-06, 0.76252, 2.8485000000000003E-06, 6.0000000000000009E-14, 
DataValue, 1.86, 1, 1.0000000000000002E-14, 2.9108E-06, 0.76911999999999991, 2.9108E-06, 1.0000000000000002E-14, 
DataValue, 1.8900000000000001, 1, 2.7E-13, 2.9665000000000003E-06, 0.77564, 2.9665000000000003E-06, 2.7E-13, 
DataValue, 1.92, 1, 3.4E-13, 3.0579000000000004E-06, 0.7822, 3.0579000000000004E-06, 3.4E-13, 
DataValue, 1.95, 1, 4.8000000000000008E-13, 3.1301000000000003E-06, 0.78748, 3.1301000000000003E-06, 4.8000000000000008E-13, 
DataValue, 1.98, 1, 5.5000000000000008E-13, 3.1992000000000002E-06, 0.79572, 3.1992000000000002E-06, 5.5000000000000008E-13, 
DataValue, 2.0100000000000002, 1, 5.3000000000000006E-13, 3.2532000000000005E-06, 0.80168, 3.2532000000000005E-06, 5.3000000000000006E-13, 
DataValue, 2.04, 1, 6.2000000000000008E-13, 3.3292000000000002E-06, 0.80631999999999993, 3.3292000000000002E-06, 6.2000000000000008E-13, 
DataValue, 2.07, 1, 4.5000000000000005E-13, 3.3912000000000002E-06, 0.81231999999999993, 3.3912000000000002E-06, 4.5000000000000005E-13, 
DataValue, 2.1, 1, 3.4E-13, 3.458E-06, 0.81816, 3.458E-06, 3.4E-13, 
DataValue, 2.13, 1, -2.5E-13, 3.5276000000000003E-06, 0.82292, 3.5276000000000003E-06, 2.5E-13, 
DataValue, 2.16, 1, 1.7E-13, 3.6073E-06, 0.82795999999999992, 3.6073E-06, 1.7E-13, 
DataValue, 2.19, 1, 1.7E-13, 3.6757000000000002E-06, 0.83304, 3.6757000000000002E-06, 1.7E-13, 
DataValue, 2.22, 1, 5.1E-13, 3.7300000000000003E-06, 0.83683999999999992, 3.7300000000000003E-06, 5.1E-13, 
DataValue, 2.25, 1, 3.5E-13, 3.7973000000000005E-06, 0.84115999999999991, 3.7973000000000005E-06, 3.5E-13, 
DataValue, 2.2800000000000002, 1, 6.2000000000000008E-13, 3.8853000000000007E-06, 0.84427999999999992, 3.8853000000000007E-06, 6.2000000000000008E-13, 
DataValue, 2.31, 1, 2.5E-13, 3.9616E-06, 0.84783999999999993, 3.9616E-06, 2.5E-13, 
DataValue, 2.34, 1, 3.6000000000000003E-13, 4.0149E-06, 0.85095999999999994, 4.0149E-06, 3.6000000000000003E-13, 
DataValue, 2.37, 1, 3.4E-13, 4.0956E-06, 0.85336, 4.0956E-06, 3.4E-13, 
DataValue, 2.4, 1, 4.8000000000000008E-13, 4.1548000000000004E-06, 0.85644, 4.1548000000000004E-06, 4.8000000000000008E-13, 
DataValue, 2.43, 1, -2.1000000000000001E-13, 4.2068E-06, 0.85947999999999991, 4.2068E-06, 2.1000000000000001E-13, 
DataValue, 2.46, 1, 4.3000000000000004E-13, 4.2932000000000007E-06, 0.86147999999999991, 4.2932000000000007E-06, 4.3000000000000004E-13, 
DataValue, 2.49, 1, 8.0000000000000013E-14, 4.3916000000000004E-06, 0.86268, 4.3916000000000004E-06, 8.0000000000000013E-14, 
DataValue, 2.52, 1, 7E-14, 4.4470000000000008E-06, 0.86471999999999993, 4.4470000000000008E-06, 7E-14, 
DataValue, 2.5500000000000003, 1, 3.3E-13, 4.5001E-06, 0.8674, 4.5001E-06, 3.3E-13, 
DataValue, 2.58, 1, 3.7000000000000004E-13, 4.5771000000000006E-06, 0.86868, 4.5771000000000006E-06, 3.7000000000000004E-13, 
DataValue, 2.61, 1, 2.4000000000000004E-13, 4.6183E-06, 0.87056, 4.6183E-06, 2.4000000000000004E-13, 
DataValue, 2.64, 1, 8.1000000000000008E-13, 4.7018000000000005E-06, 0.87215999999999994, 4.7018000000000005E-06, 8.1000000000000008E-13, 
DataValue, 2.67, 1, 4E-13, 4.7784000000000007E-06, 0.87288, 4.7784000000000007E-06, 4E-13, 
DataValue, 2.7, 1, 3.3E-13, 4.8394000000000006E-06, 0.87447999999999992, 4.8394000000000006E-06, 3.3E-13, 
DataValue, 2.73, 1, 1.7E-13, 4.911E-06, 0.87484, 4.911E-06, 1.7E-13, 
DataValue, 2.7600000000000002, 1, 6.7000000000000007E-13, 4.976E-06, 0.87656, 4.976E-06, 6.7000000000000007E-13, 
DataValue, 2.79, 1, 3.5E-13, 5.0206000000000007E-06, 0.87772, 5.0206000000000007E-06, 3.5E-13, 
DataValue, 2.82, 1, -4.6000000000000006E-13, 5.0645E-06, 0.87856, 5.0645E-06, 4.6000000000000006E-13, 
DataValue, 2.85, 1, 4.9E-13, 5.1523000000000006E-06, 0.87956, 5.1523000000000006E-06, 4.9E-13, 
DataValue, 2.88, 1, 6.6E-13, 5.2107000000000008E-06, 0.88052, 5.2107000000000008E-06, 6.6E-13, 
DataValue, 2.91, 1, 1.9000000000000002E-13, 5.2810000000000008E-06, 0.881, 5.2810000000000008E-06, 1.9000000000000002E-13, 
DataValue, 2.94, 1, 5.2E-13, 5.372E-06, 0.88135999999999992, 5.372E-06, 5.2E-13, 
DataValue, 2.97, 1, 1.2900000000000002E-12, 5.4083E-06, 0.88232, 5.4083E-06, 1.2900000000000002E-12, 
DataValue, 3, 1, -1.8000000000000002E-13, 5.4687000000000007E-06, 0.88296, 5.4687000000000007E-06, 1.8000000000000002E-13, 
DataValue, 3, 1, 1.0500000000000002E-12, 5.4599000000000009E-06, 0.88296, 5.4599000000000009E-06, 1.0500000000000002E-12, 
DataValue, 2.97, 1, 4.0000000000000006E-14, 5.3832E-06, 0.88196, 5.3832E-06, 4.0000000000000006E-14, 
DataValue, 2.94, 1, 1.7E-13, 5.2783000000000008E-06, 0.88191999999999993, 5.2783000000000008E-06, 1.7E-13, 
DataValue, 2.91, 1, 5E-13, 5.2031E-06, 0.8804, 5.2031E-06, 5E-13, 
DataValue, 2.88, 1, -5E-14, 5.1185E-06, 0.87952, 5.1185E-06, 5E-14, 
DataValue, 2.85, 1, -3.8000000000000005E-13, 5.0337000000000006E-06, 0.87859999999999994, 5.0337000000000006E-06, 3.8000000000000005E-13, 
DataValue, 2.82, 1, 2.8E-13, 4.9627000000000008E-06, 0.87732, 4.9627000000000008E-06, 2.8E-13, 
DataValue, 2.79, 1, 2E-13, 4.8921E-06, 0.87568, 4.8921E-06, 2E-13, 
DataValue, 2.7600000000000002, 1, 2.0000000000000003E-14, 4.7983E-06, 0.87491999999999992, 4.7983E-06, 2.0000000000000003E-14, 
DataValue, 2.73, 1, 3.5E-13, 4.7141E-06, 0.874, 4.7141E-06, 3.5E-13, 
DataValue, 2.7, 1, 5.1E-13, 4.6339000000000006E-06, 0.87252, 4.6339000000000006E-06, 5.1E-13, 
DataValue, 2.67, 1, 2.2000000000000002E-13, 4.5498E-06, 0.8702, 4.5498E-06, 2.2000000000000002E-13, 
DataValue, 2.64, 1, -2.1000000000000001E-13, 4.4666000000000006E-06, 0.86868, 4.4666000000000006E-06, 2.1000000000000001E-13, 
DataValue, 2.61, 1, 7.8000000000000011E-13, 4.3998000000000006E-06, 0.8668, 4.3998000000000006E-06, 7.8000000000000011E-13, 
DataValue, 2.58, 1, -2.5E-13, 4.305E-06, 0.8648, 4.305E-06, 2.5E-13, 
DataValue, 2.5500000000000003, 1, -6.7000000000000007E-13, 4.2084E-06, 0.8632, 4.2084E-06, 6.7000000000000007E-13, 
DataValue, 2.52, 1, 6.0000000000000007E-13, 4.1227E-06, 0.86052, 4.1227E-06, 6.0000000000000007E-13, 
DataValue, 2.49, 1, 1.2000000000000002E-13, 4.0578E-06, 0.85739999999999994, 4.0578E-06, 1.2000000000000002E-13, 
DataValue, 2.46, 1, -2.1000000000000001E-13, 3.9891000000000005E-06, 0.85427999999999993, 3.9891000000000005E-06, 2.1000000000000001E-13, 
DataValue, 2.43, 1, 1.4E-13, 3.8923E-06, 0.85183999999999993, 3.8923E-06, 1.4E-13, 
DataValue, 2.4, 1, 5.4E-13, 3.8251E-06, 0.84824, 3.8251E-06, 5.4E-13, 
DataValue, 2.37, 1, -2.0000000000000003E-14, 3.7755000000000005E-06, 0.84424, 3.7755000000000005E-06, 2.0000000000000003E-14, 
DataValue, 2.34, 1, 4.5000000000000005E-13, 3.6728000000000002E-06, 0.84056, 3.6728000000000002E-06, 4.5000000000000005E-13, 
DataValue, 2.31, 1, 2.6E-13, 3.6093000000000003E-06, 0.83571999999999991, 3.6093000000000003E-06, 2.6E-13, 
DataValue, 2.2800000000000002, 1, -4.6000000000000006E-13, 3.5431000000000004E-06, 0.8308, 3.5431000000000004E-06, 4.6000000000000006E-13, 
DataValue, 2.25, 1, -2.6E-13, 3.4671000000000002E-06, 0.82683999999999991, 3.4671000000000002E-06, 2.6E-13, 
DataValue, 2.22, 1, -4.0000000000000006E-14, 3.39E-06, 0.8216, 3.39E-06, 4.0000000000000006E-14, 
DataValue, 2.19, 1, -5.2E-13, 3.3132000000000003E-06, 0.81684, 3.3132000000000003E-06, 5.2E-13, 
DataValue, 2.16, 1, 2.2000000000000002E-13, 3.2347E-06, 0.81131999999999993, 3.2347E-06, 2.2000000000000002E-13, 
DataValue, 2.13, 1, 1.3E-13, 3.1653000000000004E-06, 0.80587999999999993, 3.1653000000000004E-06, 1.3E-13, 
DataValue, 2.1, 1, -7E-14, 3.1017000000000003E-06, 0.80036, 3.1017000000000003E-06, 7E-14, 
DataValue, 2.07, 1, -2.3000000000000003E-13, 3.0364000000000003E-06, 0.79408, 3.0364000000000003E-06, 2.3000000000000003E-13, 
DataValue, 2.04, 1, 4.7E-13, 2.9750000000000003E-06, 0.7874, 2.9750000000000003E-06, 4.7E-13, 
DataValue, 2.0100000000000002, 1, -2.6E-13, 2.8860000000000004E-06, 0.78292, 2.8860000000000004E-06, 2.6E-13, 
DataValue, 1.98, 1, -2.7E-13, 2.8397E-06, 0.77523999999999993, 2.8397E-06, 2.7E-13, 
DataValue, 1.95, 1, 4.6000000000000006E-13, 2.7718000000000003E-06, 0.76864, 2.7718000000000003E-06, 4.6000000000000006E-13, 
DataValue, 1.92, 1, -6.2000000000000008E-13, 2.7075000000000003E-06, 0.76112, 2.7075000000000003E-06, 6.2000000000000008E-13, 
DataValue, 1.8900000000000001, 1, -4.6000000000000006E-13, 2.6496000000000004E-06, 0.75284, 2.6496000000000004E-06, 4.6000000000000006E-13, 
DataValue, 1.86, 1, -2E-13, 2.5747E-06, 0.74856, 2.5747E-06, 2E-13, 
DataValue, 1.83, 1, 5E-14, 2.5203000000000002E-06, 0.74012, 2.5203000000000002E-06, 5E-14, 
DataValue, 1.8, 1, -7.3E-13, 2.4573E-06, 0.73544, 2.4573E-06, 7.3E-13, 
DataValue, 1.77, 1, -8.0000000000000013E-14, 2.3905000000000002E-06, 0.72904, 2.3905000000000002E-06, 8.0000000000000013E-14, 
DataValue, 1.74, 1, -2.2000000000000002E-13, 2.3412E-06, 0.72144, 2.3412E-06, 2.2000000000000002E-13, 
DataValue, 1.71, 1, -4.0000000000000006E-14, 2.2919E-06, 0.71492, 2.2919E-06, 4.0000000000000006E-14, 
DataValue, 1.68, 1, -5.7E-13, 2.2524000000000002E-06, 0.70816, 2.2524000000000002E-06, 5.7E-13, 
DataValue, 1.6500000000000001, 1, 3.9000000000000005E-13, 2.1762E-06, 0.70484, 2.1762E-06, 3.9000000000000005E-13, 
DataValue, 1.62, 1, 1.7E-13, 2.1223000000000004E-06, 0.69687999999999994, 2.1223000000000004E-06, 1.7E-13, 
DataValue, 1.59, 1, -4.0000000000000006E-14, 2.0742000000000004E-06, 0.69131999999999993, 2.0742000000000004E-06, 4.0000000000000006E-14, 
DataValue, 1.56, 1, 4.1E-13, 2.0324000000000002E-06, 0.68375999999999992, 2.0324000000000002E-06, 4.1E-13, 
DataValue, 1.53, 1, 1.4E-13, 1.9776000000000003E-06, 0.67896, 1.9776000000000003E-06, 1.4E-13, 
DataValue, 1.5, 1, -1.7E-13, 1.9506E-06, 0.67136, 1.9506E-06, 1.7E-13, 
DataValue, 1.47, 1, -4.0000000000000006E-14, 1.8911000000000002E-06, 0.66643999999999992, 1.8911000000000002E-06, 4.0000000000000006E-14, 
DataValue, 1.44, 1, 3.0000000000000005E-14, 1.8412000000000003E-06, 0.66176, 1.8412000000000003E-06, 3.0000000000000005E-14, 
DataValue, 1.41, 1, -2.1000000000000001E-13, 1.8017000000000003E-06, 0.6564, 1.8017000000000003E-06, 2.1000000000000001E-13, 
DataValue, 1.3800000000000001, 1, -1E-12, 1.7596000000000003E-06, 0.65144, 1.7596000000000003E-06, 1E-12, 
DataValue, 1.35, 1, -8.0000000000000013E-14, 1.7136000000000002E-06, 0.64735999999999994, 1.7136000000000002E-06, 8.0000000000000013E-14, 
DataValue, 1.32, 1, -7.2000000000000006E-13, 1.6791000000000002E-06, 0.644, 1.6791000000000002E-06, 7.2000000000000006E-13, 
DataValue, 1.29, 1, -1.2000000000000002E-13, 1.6376000000000002E-06, 0.64076, 1.6376000000000002E-06, 1.2000000000000002E-13, 
DataValue, 1.26, 1, 5.1E-13, 1.6026000000000001E-06, 0.63572, 1.6026000000000001E-06, 5.1E-13, 
DataValue, 1.23, 1, -2.4000000000000004E-13, 1.5677000000000003E-06, 0.63191999999999993, 1.5677000000000003E-06, 2.4000000000000004E-13, 
DataValue, 1.2, 1, -1.9000000000000002E-13, 1.5422000000000002E-06, 0.62664, 1.5422000000000002E-06, 1.9000000000000002E-13, 
DataValue, 1.17, 1, 1.2000000000000002E-13, 1.5039000000000001E-06, 0.62496, 1.5039000000000001E-06, 1.2000000000000002E-13, 
DataValue, 1.1400000000000001, 1, -9.000000000000001E-13, 1.4777E-06, 0.62536, 1.4777E-06, 9.000000000000001E-13, 
DataValue, 1.11, 1, -3.0000000000000003E-13, 1.4507000000000002E-06, 0.62324, 1.4507000000000002E-06, 3.0000000000000003E-13, 
DataValue, 1.08, 1, 4.7E-13, 1.4248E-06, 0.62376, 1.4248E-06, 4.7E-13, 
DataValue, 1.05, 1, -2.0000000000000003E-14, 1.4009000000000002E-06, 0.61968, 1.4009000000000002E-06, 2.0000000000000003E-14, 
DataValue, 1.02, 1, 8.2E-13, 1.3878E-06, 0.61759999999999993, 1.3878E-06, 8.2E-13, 
DataValue, 0.99, 1, -9.9E-13, 1.3660000000000001E-06, 0.61852, 1.3660000000000001E-06, 9.9E-13, 
DataValue, 0.96, 1, 4E-13, 1.3409000000000002E-06, 0.62047999999999992, 1.3409000000000002E-06, 4E-13, 
DataValue, 0.93, 1, -8.0000000000000013E-14, 1.3289E-06, 0.62147999999999992, 1.3289E-06, 8.0000000000000013E-14, 
DataValue, 0.9, 1, -6.0000000000000007E-13, 1.3048000000000002E-06, 0.628, 1.3048000000000002E-06, 6.0000000000000007E-13, 
DataValue, 0.87, 1, 8.4000000000000006E-13, 1.2992000000000002E-06, 0.63284, 1.2992000000000002E-06, 8.4000000000000006E-13, 
DataValue, 0.84, 1, 1.8000000000000002E-13, 1.2850000000000002E-06, 0.63928, 1.2850000000000002E-06, 1.8000000000000002E-13, 
DataValue, 0.81, 1, -2.0000000000000003E-14, 1.2767000000000002E-06, 0.64604, 1.2767000000000002E-06, 2.0000000000000003E-14, 
DataValue, 0.78, 1, -1.3E-13, 1.2598000000000002E-06, 0.65555999999999992, 1.2598000000000002E-06, 1.3E-13, 
DataValue, 0.75, 1, 4.9E-13, 1.2617000000000001E-06, 0.6696, 1.2617000000000001E-06, 4.9E-13, 
DataValue, 0.72, 1, -1.22E-12, 1.2684000000000002E-06, 0.67964, 1.2684000000000002E-06, 1.22E-12, 
DataValue, 0.69000000000000006, 1, 5.2E-13, 1.2696E-06, 0.69272, 1.2696E-06, 5.2E-13, 
DataValue, 0.66, 1, -2.7E-13, 1.2769000000000002E-06, 0.71183999999999992, 1.2769000000000002E-06, 2.7E-13, 
DataValue, 0.63, 1, -5E-13, 1.2744E-06, 0.734, 1.2744E-06, 5E-13, 
DataValue, 0.6, 1, -1.3800000000000002E-12, 1.2796000000000002E-06, 0.75415999999999994, 1.2796000000000002E-06, 1.3800000000000002E-12, 
DataValue, 0.57000000000000006, 1, 8.5000000000000011E-13, 1.2834E-06, 0.76703999999999994, 1.2834E-06, 8.5000000000000011E-13, 
DataValue, 0.54, 1, -2.5E-13, 1.2887E-06, 0.77816, 1.2887E-06, 2.5E-13, 
DataValue, 0.51, 1, 4.9E-13, 1.2771000000000002E-06, 0.79148, 1.2771000000000002E-06, 4.9E-13, 
DataValue, 0.48, 1, -5E-14, 1.2650000000000002E-06, 0.80052, 1.2650000000000002E-06, 5E-14, 
DataValue, 0.45, 1, -6.0000000000000007E-13, 1.2695E-06, 0.80655999999999994, 1.2695E-06, 6.0000000000000007E-13, 
DataValue, 0.42, 1, -1.0600000000000001E-12, 1.2536000000000002E-06, 0.81268, 1.2536000000000002E-06, 1.0600000000000001E-12, 
DataValue, 0.39, 1, -4.5000000000000005E-13, 1.2432000000000002E-06, 0.8178, 1.2432000000000002E-06, 4.5000000000000005E-13, 
DataValue, 0.36, 1, -2.4000000000000004E-13, 1.244E-06, 0.82124, 1.244E-06, 2.4000000000000004E-13, 
DataValue, 0.33, 1, -4E-13, 1.2321E-06, 0.82404, 1.2321E-06, 4E-13, 
DataValue, 0.3, 1, -1.6000000000000003E-13, 1.2328E-06, 0.82468, 1.2328E-06, 1.6000000000000003E-13, 
DataValue, 0.27, 1, -5.7E-13, 1.2234000000000002E-06, 0.82844, 1.2234000000000002E-06, 5.7E-13, 
DataValue, 0.24, 1, -1.9000000000000002E-13, 1.2161E-06, 0.83227999999999991, 1.2161E-06, 1.9000000000000002E-13, 
DataValue, 0.21, 1, -1.1000000000000001E-13, 1.2129E-06, 0.83227999999999991, 1.2129E-06, 1.1000000000000001E-13, 
DataValue, 0.18, 1, -2.4000000000000004E-13, 1.2136000000000001E-06, 0.83563999999999994, 1.2136000000000001E-06, 2.4000000000000004E-13, 
DataValue, 0.15, 1, -4.6000000000000006E-13, 1.2141000000000002E-06, 0.83632, 1.2141000000000002E-06, 4.6000000000000006E-13, 
DataValue, 0.12, 1, 2.0000000000000003E-14, 1.2083000000000002E-06, 0.83592, 1.2083000000000002E-06, 2.0000000000000003E-14, 
DataValue, 0.09, 1, -1.8000000000000002E-13, 1.1983E-06, 0.83644, 1.1983E-06, 1.8000000000000002E-13, 
DataValue, 0.06, 1, -1.9000000000000002E-13, 1.1971000000000002E-06, 0.83748, 1.1971000000000002E-06, 1.9000000000000002E-13, 
DataValue, 0.03, 1, -5.2E-13, 1.2081000000000001E-06, 0.8376, 1.2081000000000001E-06, 5.2E-13, 
DataValue, 0, 1, 5.3000000000000006E-13, 1.2001000000000002E-06, 0.83856, 1.2001000000000002E-06, 5.3000000000000006E-13, 
DataValue, 0, 2, 2E-13, 2.2698000000000003E-06, 1.71508, 2.2698000000000003E-06, 2E-13, 
DataValue, 0.03, 2, 3.4E-13, 2.2652000000000004E-06, 1.71624, 2.2652000000000004E-06, 3.4E-13, 
DataValue, 0.06, 2, 1.18E-12, 2.2459000000000004E-06, 1.7185599999999999, 2.2459000000000004E-06, 1.18E-12, 
DataValue, 0.09, 2, 1.0000000000000002E-14, 2.2215000000000002E-06, 1.7207999999999999, 2.2215000000000002E-06, 1.0000000000000002E-14, 
DataValue, 0.12, 2, 4.3000000000000004E-13, 2.2114E-06, 1.72248, 2.2114E-06, 4.3000000000000004E-13, 
DataValue, 0.15, 2, 4.4000000000000004E-13, 2.1556E-06, 1.72712, 2.1556E-06, 4.4000000000000004E-13, 
DataValue, 0.18, 2, 1.8000000000000002E-13, 2.1609000000000004E-06, 1.7269999999999999, 2.1609000000000004E-06, 1.8000000000000002E-13, 
DataValue, 0.21, 2, 6.9000000000000009E-13, 2.1470000000000004E-06, 1.7273999999999998, 2.1470000000000004E-06, 6.9000000000000009E-13, 
DataValue, 0.24, 2, 5E-13, 2.1409E-06, 1.72928, 2.1409E-06, 5E-13, 
DataValue, 0.27, 2, -2.5E-13, 2.1323000000000003E-06, 1.73024, 2.1323000000000003E-06, 2.5E-13, 
DataValue, 0.3, 2, 1.3E-13, 2.1015E-06, 1.7316, 2.1015E-06, 1.3E-13, 
DataValue, 0.33, 2, 7E-13, 2.0949E-06, 1.7356, 2.0949E-06, 7E-13, 
DataValue, 0.36, 2, 2.0000000000000003E-14, 2.0683E-06, 1.7341199999999999, 2.0683E-06, 2.0000000000000003E-14, 
DataValue, 0.39, 2, 5.5000000000000008E-13, 2.0594E-06, 1.73556, 2.0594E-06, 5.5000000000000008E-13, 
DataValue, 0.42, 2, 2.3000000000000003E-13, 2.0688000000000004E-06, 1.73224, 2.0688000000000004E-06, 2.3000000000000003E-13, 
DataValue, 0.45, 2, -3.5E-13, 2.0557E-06, 1.73356, 2.0557E-06, 3.5E-13, 
DataValue, 0.48, 2, 3.6000000000000003E-13, 2.0732000000000003E-06, 1.7362, 2.0732000000000003E-06, 3.6000000000000003E-13, 
DataValue, 0.51, 2, 5.2E-13, 2.0855E-06, 1.7327599999999999, 2.0855E-06, 5.2E-13, 
DataValue, 0.54, 2, -7E-14, 2.093E-06, 1.73148, 2.093E-06, 7E-14, 
DataValue, 0.57000000000000006, 2, 6.0000000000000007E-13, 2.1334E-06, 1.72472, 2.1334E-06, 6.0000000000000007E-13, 
DataValue, 0.6, 2, 6.8E-13, 2.1299E-06, 1.7211999999999998, 2.1299E-06, 6.8E-13, 
DataValue, 0.63, 2, 1.3E-13, 2.1385000000000004E-06, 1.72156, 2.1385000000000004E-06, 1.3E-13, 
DataValue, 0.66, 2, -2.5E-13, 2.1772E-06, 1.71704, 2.1772E-06, 2.5E-13, 
DataValue, 0.69000000000000006, 2, 4.6000000000000006E-13, 2.1887000000000003E-06, 1.71356, 2.1887000000000003E-06, 4.6000000000000006E-13, 
DataValue, 0.72, 2, 1.3300000000000002E-12, 2.1688000000000003E-06, 1.7124, 2.1688000000000003E-06, 1.3300000000000002E-12, 
DataValue, 0.75, 2, -4.1E-13, 2.2265E-06, 1.706, 2.2265E-06, 4.1E-13, 
DataValue, 0.78, 2, 3.0000000000000005E-14, 2.2455000000000004E-06, 1.70028, 2.2455000000000004E-06, 3.0000000000000005E-14, 
DataValue, 0.81, 2, 2.6E-13, 2.2603E-06, 1.69732, 2.2603E-06, 2.6E-13, 
DataValue, 0.84, 2, -2.8E-13, 2.2716000000000004E-06, 1.69008, 2.2716000000000004E-06, 2.8E-13, 
DataValue, 0.87, 2, -5E-13, 2.307E-06, 1.68472, 2.307E-06, 5E-13, 
DataValue, 0.9, 2, 7.9000000000000007E-13, 2.3385E-06, 1.67632, 2.3385E-06, 7.9000000000000007E-13, 
DataValue, 0.93, 2, 6.0000000000000009E-14, 2.3827E-06, 1.6621199999999998, 2.3827E-06, 6.0000000000000009E-14, 
DataValue, 0.96, 2, 4.1E-13, 2.3663E-06, 1.664, 2.3663E-06, 4.1E-13, 
DataValue, 0.99, 2, 1.21E-12, 2.4536E-06, 1.63832, 2.4536E-06, 1.21E-12, 
DataValue, 1.02, 2, 9.0000000000000008E-14, 2.4877000000000003E-06, 1.6166399999999999, 2.4877000000000003E-06, 9.0000000000000008E-14, 
DataValue, 1.05, 2, 4.7E-13, 2.5045000000000003E-06, 1.59056, 2.5045000000000003E-06, 4.7E-13, 
DataValue, 1.08, 2, -6.7000000000000007E-13, 2.5297E-06, 1.5594, 2.5297E-06, 6.7000000000000007E-13, 
DataValue, 1.11, 2, 2.7600000000000004E-12, 2.5432E-06, 1.52732, 2.5432E-06, 2.7600000000000004E-12, 
DataValue, 1.1400000000000001, 2, -3.5500000000000004E-12, 2.5304000000000004E-06, 1.49492, 2.5304000000000004E-06, 3.5500000000000004E-12, 
DataValue, 1.17, 2, 1.17E-12, 2.545E-06, 1.45244, 2.545E-06, 1.17E-12, 
DataValue, 1.2, 2, -5.8000000000000005E-13, 2.5411E-06, 1.4116, 2.5411E-06, 5.8000000000000005E-13, 
DataValue, 1.23, 2, -1.3900000000000001E-12, 2.5659000000000003E-06, 1.37156, 2.5659000000000003E-06, 1.3900000000000001E-12, 
DataValue, 1.26, 2, 5.6200000000000007E-12, 2.5745E-06, 1.33836, 2.5745E-06, 5.6200000000000007E-12, 
DataValue, 1.29, 2, 1.4200000000000002E-12, 2.5935000000000002E-06, 1.31408, 2.5935000000000002E-06, 1.4200000000000002E-12, 
DataValue, 1.32, 2, -6.0000000000000009E-14, 2.6446E-06, 1.28512, 2.6446E-06, 6.0000000000000009E-14, 
DataValue, 1.35, 2, 5.1E-13, 2.6618E-06, 1.264, 2.6618E-06, 5.1E-13, 
DataValue, 1.3800000000000001, 2, 2.59E-12, 2.6670000000000005E-06, 1.2453999999999998, 2.6670000000000005E-06, 2.59E-12, 
DataValue, 1.41, 2, 1.6800000000000001E-12, 2.7222000000000004E-06, 1.2163599999999999, 2.7222000000000004E-06, 1.6800000000000001E-12, 
DataValue, 1.44, 2, 7E-13, 2.7854000000000005E-06, 1.20604, 2.7854000000000005E-06, 7E-13, 
DataValue, 1.47, 2, 1.9000000000000002E-13, 2.821E-06, 1.19888, 2.821E-06, 1.9000000000000002E-13, 
DataValue, 1.5, 2, -1.6800000000000001E-12, 2.8608E-06, 1.18424, 2.8608E-06, 1.6800000000000001E-12, 
DataValue, 1.53, 2, -3.0400000000000004E-12, 2.8742000000000004E-06, 1.1907999999999999, 2.8742000000000004E-06, 3.0400000000000004E-12, 
DataValue, 1.56, 2, -1.7E-13, 2.9413E-06, 1.1768399999999999, 2.9413E-06, 1.7E-13, 
DataValue, 1.59, 2, 1.3300000000000002E-12, 3.0191000000000005E-06, 1.16656, 3.0191000000000005E-06, 1.3300000000000002E-12, 
DataValue, 1.62, 2, -1.14E-12, 3.0168000000000005E-06, 1.17, 3.0168000000000005E-06, 1.14E-12, 
DataValue, 1.6500000000000001, 2, 2.1500000000000003E-12, 3.1176000000000004E-06, 1.161, 3.1176000000000004E-06, 2.1500000000000003E-12, 
DataValue, 1.68, 2, 8.2E-13, 3.1719000000000005E-06, 1.16336, 3.1719000000000005E-06, 8.2E-13, 
DataValue, 1.71, 2, -7E-14, 3.2482000000000005E-06, 1.1681599999999999, 3.2482000000000005E-06, 7E-14, 
DataValue, 1.74, 2, -1.21E-12, 3.2839000000000004E-06, 1.1688399999999999, 3.2839000000000004E-06, 1.21E-12, 
DataValue, 1.77, 2, 1.3400000000000002E-12, 3.3796000000000002E-06, 1.1703599999999998, 3.3796000000000002E-06, 1.3400000000000002E-12, 
DataValue, 1.8, 2, 1.1000000000000002E-12, 3.4222000000000005E-06, 1.17512, 3.4222000000000005E-06, 1.1000000000000002E-12, 
DataValue, 1.83, 2, -1.6000000000000003E-13, 3.5322000000000002E-06, 1.1728399999999999, 3.5322000000000002E-06, 1.6000000000000003E-13, 
DataValue, 1.86, 2, 1.64E-12, 3.6111000000000005E-06, 1.17876, 3.6111000000000005E-06, 1.64E-12, 
DataValue, 1.8900000000000001, 2, 1.3900000000000001E-12, 3.6918000000000004E-06, 1.1762, 3.6918000000000004E-06, 1.3900000000000001E-12, 
DataValue, 1.92, 2, 1.3E-13, 3.7988000000000004E-06, 1.18344, 3.7988000000000004E-06, 1.3E-13, 
DataValue, 1.95, 2, -4.6000000000000006E-13, 3.8426E-06, 1.19228, 3.8426E-06, 4.6000000000000006E-13, 
DataValue, 1.98, 2, 1.4700000000000002E-12, 3.9339000000000006E-06, 1.1985999999999999, 3.9339000000000006E-06, 1.4700000000000002E-12, 
